Title	Author	Date	Tags	Author Info	Author Link	Work Title	Work Type	Work Minor Title	Work Link	Work ID	Work Pages	Work Rights	Work Rights Holder	Publisher	Publisher City	Date Added	Body	Body as HTML	Author Last Name First	Author File Name	Author Wikimedia Page	Work HTML Line	Work Rights HTML Line
The Most Dangerous of Devotions	E. O. Wilson	1998	humanism, religion			Consilience: The Unity of Knowledge	Book			0679450777	245			Alfred A. Knopf	New York	2010-10-26 20:04:13	The most dangerous of devotions, in my opinion, is the one endemic to Christianity: <em>I was not born to be of this world.</em> With a second life waiting, suffering can be endured -- especially in other people. The natural environment can be used up. Enemies of the faith can be savaged and suicidal martyrdom praised. 	<p>The most dangerous of devotions, in my opinion, is the one endemic to Christianity: <em>I was not born to be of this world.</em> With a second life waiting, suffering can be endured &ndash; especially in other people. The natural environment can be used up. Enemies of the faith can be savaged and suicidal martyrdom praised.</p>	Wilson, E. O.	e.-o.-wilson	E._O._Wilson	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Consilience: The Unity of Knowledge</cite>, <span class='city'>New York</span>: <span class='publisher'>Alfred A. Knopf</span>, page&nbsp;<span class='pages'>245</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0679450777/portablewisdo-20' class='isbn'>0679450777</a> 	
The World Empire enforces World Peace	Yuval Noah Harari	2015	governance, systemic			Sapiens: A Brief History of Humankind	Book			0062316095		Copyright	Yuval Noah Harari	Harper Collins		2017-01-13 11:51:50	Most countries no longer engage in full-scale war for the simple reason that they are no longer independent. Though citizens in Israel, Italy, Mexico or Thailand may harbour illusions of independence, the fact is that their governments cannot conduct independent economic or foreign policies, and they are certainly incapable of initiating and conducting full-scale war on their own. As explained in Chapter 11, we are witnessing the formation of a global empire. Like previous empires, this one, too, enforces peace within its borders. And since its borders cover the entire globe, the World Empire effectively enforces world peace.	<p>Most countries no longer engage in full-scale war for the simple reason that they are no longer independent. Though citizens in Israel, Italy, Mexico or Thailand may harbour illusions of independence, the fact is that their governments cannot conduct independent economic or foreign policies, and they are certainly incapable of initiating and conducting full-scale war on their own. As explained in Chapter 11, we are witnessing the formation of a global empire. Like previous empires, this one, too, enforces peace within its borders. And since its borders cover the entire globe, the World Empire effectively enforces world peace.</p>	Harari, Yuval Noah	yuval-noah-harari	Yuval_Noah_Harari	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Sapiens: A Brief History of Humankind</cite>, <span class='publisher'>Harper Collins</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062316095/portablewisdo-20' class='isbn'>0062316095</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Yuval Noah Harari</span>
The Third Place	Ray Oldenburg	1989	connection			The Great Good Place	Book			1569246815		Copyright	Ray Oldenburg	Da Capo Press	Cambridge, Massachusetts	2009-02-04 07:47:47	Most needed are those 'third places' which lend a public balance to the increased privatization of home life. Third places are nothing more than informal public gathering places. The phrase 'third places' derives from considering our homes to be the 'first' places in our lives, and our work places the 'second.'	<p>Most needed are those &lsquo;third places&rsquo; which lend a public balance to the increased privatization of home life. Third places are nothing more than informal public gathering places. The phrase &lsquo;third places&rsquo; derives from considering our homes to be the &lsquo;first&rsquo; places in our lives, and our work places the &lsquo;second.&rsquo;</p>	Oldenburg, Ray	ray-oldenburg	Ray_Oldenburg	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Great Good Place</cite>, <span class='city'>Cambridge, Massachusetts</span>: <span class='publisher'>Da Capo Press</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1569246815/portablewisdo-20' class='isbn'>1569246815</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Ray Oldenburg</span>
Facts are Facts	Peter Kann	Feb 18, 2017	critical thinking			Time Magazine	Article		http://time.com/4675860/donald-trump-fake-news-attacks/							2017-02-20 08:28:52	Facts are facts; they are ascertainable through honest, open-minded and diligent reporting; truth is attainable by laying fact upon fact, much like the construction of a cathedral; and truth is not merely in the eye of the beholder.	<p>Facts are facts; they are ascertainable through honest, open-minded and diligent reporting; truth is attainable by laying fact upon fact, much like the construction of a cathedral; and truth is not merely in the eye of the beholder.</p>	Kann, Peter	peter-kann	Peter_Kann	the <span class='sourcetype'>Article</span> <cite class='majortitle'><a href='http://time.com/4675860/donald-trump-fake-news-attacks/' rel='source'>Time Magazine</a></cite>	
The best way to predict the future is to invent it	Alan Kay	1971	individuals			Meeting of the Palo Alto Research Center	Remarks		https://quoteinvestigator.com/2012/09/27/invent-the-future/							2018-04-24 08:44:31	Don’t worry about what anybody else is going to do.... The best way to predict the future is to invent it. Really smart people with reasonable funding can do just about anything that doesn't violate too many of Newton’s Laws.	<p>Don’t worry about what anybody else is going to do&hellip;. The best way to predict the future is to invent it. Really smart people with reasonable funding can do just about anything that doesn&rsquo;t violate too many of Newton’s Laws.</p>	Kay, Alan	alan-kay	Alan_Kay	the <span class='sourcetype'>Remarks</span> <cite class='majortitle'><a href='https://quoteinvestigator.com/2012/09/27/invent-the-future/' rel='source'>Meeting of the Palo Alto Research Center</a></cite>	
Enemies of Art and Artist	Henry Miller	1957	art			Big Sur and the Oranges of Hieronymus Bosch	Book			0811201074		Copyright	Henry Miller			2006-11-30 14:29:31	Men are not suffering from the lack of good literature, good art, good theatre, good music, but from that which has made it impossible for these to become manifest. In short, they are suffering from the silent, shameful conspiracy (the more shameful since it is unacknowledged) which has bound them together as enemies of art and artist. They are suffering from the fact that art is not the primary moving force in their lives. They are suffering from the act, repeated daily, of keeping up the pretense that they can go their way, lead their lives, without art.	<p>Men are not suffering from the lack of good literature, good art, good theatre, good music, but from that which has made it impossible for these to become manifest. In short, they are suffering from the silent, shameful conspiracy (the more shameful since it is unacknowledged) which has bound them together as enemies of art and artist. They are suffering from the fact that art is not the primary moving force in their lives. They are suffering from the act, repeated daily, of keeping up the pretense that they can go their way, lead their lives, without art.</p>	Miller, Henry	henry-miller	Henry_Miller	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Big Sur and the Oranges of Hieronymus Bosch</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0811201074/portablewisdo-20' class='isbn'>0811201074</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Henry Miller</span>
Progress Depends on the Unreasonable Man	George Bernard Shaw	1903	individuals, progress			Maxims for Revolutionists	Play									2010-05-26 20:36:29	The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.	<p>The reasonable man adapts himself to the world: the unreasonable one persists in trying to adapt the world to himself. Therefore all progress depends on the unreasonable man.</p>	Shaw, George Bernard	george-bernard-shaw	George_Bernard_Shaw	the <span class='sourcetype'>Play</span> <cite class='majortitle'>Maxims for Revolutionists</cite>	
The Rainbow Bridge	E. M. Forster	1910	connection, humanism, integral			Howard”s End	Book			0486424545						2007-04-10 14:52:58	Mature as he was, she might yet be able to help him to the building of the rainbow bridge that should connect the prose in us with the passion. Without it we are meaningless fragments, half monks, half beasts, unconnected arches that have never joined into a man. With it love is born, and alights on the highest curve, glowing against the gray, sober against the fire.	<p>Mature as he was, she might yet be able to help him to the building of the rainbow bridge that should connect the prose in us with the passion. Without it we are meaningless fragments, half monks, half beasts, unconnected arches that have never joined into a man. With it love is born, and alights on the highest curve, glowing against the gray, sober against the fire.</p>	Forster, E. M.	e.-m.-forster	E._M._Forster	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Howard”s End</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0486424545/portablewisdo-20' class='isbn'>0486424545</a> 	
Successful Planning	Dashiell Hammett	1957	critical thinking			The Dain Curse	Book			0679722602		Copyright	Dashiell Hammett			2006-11-30 14:29:31	The outcome of successful planning always looks like luck to saps.	<p>The outcome of successful planning always looks like luck to saps.</p>	Hammett, Dashiell	dashiell-hammett	Dashiell_Hammett	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Dain Curse</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0679722602/portablewisdo-20' class='isbn'>0679722602</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Dashiell Hammett</span>
Merely Thoroughly Outrageous	Margery Allingham	1952	cultural evolution			The Tiger in the Smoke	Book			0099477734		Copyright	Margery Allingham Carter			2007-10-24 18:20:11	He made the discovery with a certain amount of relief, since it took him at least out of the region of pure fantasy and into the merely thoroughly outrageous, with which as a modern he was by now more or less familiar. 	<p>He made the discovery with a certain amount of relief, since it took him at least out of the region of pure fantasy and into the merely thoroughly outrageous, with which as a modern he was by now more or less familiar.</p>	Allingham, Margery	margery-allingham	Margery_Allingham	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Tiger in the Smoke</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0099477734/portablewisdo-20' class='isbn'>0099477734</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Margery Allingham Carter</span>
Price of Success	Frank Lloyd Wright		individuals			unknown	unknown									2009-12-21 21:51:29	I know the price of success: dedication, hard work and an unremitting devotion to the things you want to see happen.	<p>I know the price of success: dedication, hard work and an unremitting devotion to the things you want to see happen.</p>	Wright, Frank Lloyd	frank-lloyd-wright	Frank_Lloyd_Wright		
The Trick in Keeping Bands Together	Bruce Springsteen	2009-Jan-05	equality			Rolling Stone 2009-Jan-05	unknown	Bringing It All Back Home				Copyright	Rolling Stone LLC			2009-01-23 06:17:23	The trick in keeping bands together is always the same: 'Hey, asshole, the guy standing next to you is more important than you think he is.'	<p>The trick in keeping bands together is always the same: &lsquo;Hey, asshole, the guy standing next to you is more important than you think he is.&rsquo;</p>	Springsteen, Bruce	bruce-springsteen	Bruce_Springsteen	<cite class='majortitle'>Rolling Stone 2009-Jan-05</cite>, <cite class='minortitle'>&#8220;Bringing It All Back Home&#8221;</cite>	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Rolling Stone LLC</span>
Small and Obscure Deeds	Albert Schweitzer	2002	individuals, progress			Leading Quietly: An Unorthodox Guide to Doing the Right Thing	Book			1578514878		Copyright	Joseph L. Badaracco, Jr			2006-11-30 14:29:31	Of all the will toward the ideal in mankind only a small part can manifest itself in public action. All the rest of this force must be content with small and obscure deeds. The sum of these, however, is a thousand times stronger than the acts of those who receive wide public recognition. The latter, compared to the former, are like the foam on the waves of a deep ocean.	<p>Of all the will toward the ideal in mankind only a small part can manifest itself in public action. All the rest of this force must be content with small and obscure deeds. The sum of these, however, is a thousand times stronger than the acts of those who receive wide public recognition. The latter, compared to the former, are like the foam on the waves of a deep ocean.</p>	Schweitzer, Albert	albert-schweitzer	Albert_Schweitzer	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Leading Quietly: An Unorthodox Guide to Doing the Right Thing</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1578514878/portablewisdo-20' class='isbn'>1578514878</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Joseph L. Badaracco, Jr</span>
Simplicity and Complexity	Albert Einstein		science			unknown	unknown									2006-11-30 14:29:31	Everything should be made as simple as possible, but no simpler.	<p>Everything should be made as simple as possible, but no simpler.</p>	Einstein, Albert	albert-einstein	Albert_Einstein		
All the World's Cultures Now Available to Us	Ken Wilber	2007	cultural evolution			the integral vision	Book			1590304756	16	Copyright	Ken Wilber	Shambhala	Boston &amp; London	2008-10-19 09:17:57	During the last 30 years, we have witnessed a historical first: all of the world's cultures are now available to us. ...for the first time, the sum total of human knowledge is available to us--the knowledge, experience, wisdom and reflection of all major human civilizations--premodern, modern and postmodern--are open to study by anyone.	<p>During the last 30 years, we have witnessed a historical first: all of the world&rsquo;s cultures are now available to us.</p> <p>&hellip;for the first time, the sum total of human knowledge is available to us&ndash;the knowledge, experience, wisdom and reflection of all major human civilizations&ndash;premodern, modern and postmodern&ndash;are open to study by anyone.</p>	Wilber, Ken	ken-wilber	Ken_Wilber	the <span class='sourcetype'>Book</span> <cite class='majortitle'>the integral vision</cite>, <span class='city'>Boston &amp;amp; London</span>: <span class='publisher'>Shambhala</span>, page&nbsp;<span class='pages'>16</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1590304756/portablewisdo-20' class='isbn'>1590304756</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Ken Wilber</span>
Progress Depends on Retentiveness	George Santayana	1906	progress			The Life of Reason: Reason in Common Sense	Book			0486239195						2007-11-13 17:53:40	Progress, far from consisting in change, depends on retentiveness. When change is absolute there remains no being to improve and no direction is set for possible improvement: and when experience is not retained, as among savages, infancy is perpetual. Those who cannot remember the past are condemned to repeat it.	<p>Progress, far from consisting in change, depends on retentiveness. When change is absolute there remains no being to improve and no direction is set for possible improvement: and when experience is not retained, as among savages, infancy is perpetual. Those who cannot remember the past are condemned to repeat it.</p>	Santayana, George	george-santayana	George_Santayana	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Life of Reason: Reason in Common Sense</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0486239195/portablewisdo-20' class='isbn'>0486239195</a> 	
Faster Horses	Henry Ford		progress			unknown	unknown									2009-05-29 06:21:19	If I had asked people what they wanted, they would have said faster horses.	<p>If I had asked people what they wanted, they would have said faster horses.</p>	Ford, Henry	henry-ford	Henry_Ford		
Independence, freedom and opportunity for every member of society	Anu Partanen	2016	liberty			The Nordic Theory of Everything: In Search of a Better Life	Book			0062316540				Harper		2017-02-21 10:27:11	At the same time, the Nordic theory of love has become an overarching philosophy about how to structure a society. As such, it has inspired the broad variety of policy choices in the Nordic nations that together ensure a single, predominant goal: independence, freedom and opportunity for every member of society. 	<p>At the same time, the Nordic theory of love has become an overarching philosophy about how to structure a society. As such, it has inspired the broad variety of policy choices in the Nordic nations that together ensure a single, predominant goal: independence, freedom and opportunity for every member of society.</p>	Partanen, Anu	anu-partanen	Anu_Partanen	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Nordic Theory of Everything: In Search of a Better Life</cite>, <span class='publisher'>Harper</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062316540/portablewisdo-20' class='isbn'>0062316540</a> 	
Books are key to understanding the world	Carl Sagan	1995	written word			The Demon-Haunted World: Science as a Candle in the Dark	Book			039453512X						2017-12-05 09:12:14	For 99 percent of the tenure of humans on earth, nobody could read or write. The great invention had not yet been made. Except for firsthand experience, almost everything we knew was passed on by word of mouth. As in the children's game "Telephone," over tens and hundreds of generations, information would slowly be distorted and lost. Books changed all that. Books, purchasable at low cost, permit us to interrogate the past with high accuracy; to tap the wisdom of our species; to understand the point of view of others, and not just those in power; to contemplate -- with the best teachers -- the insights, painfully extracted from Nature, of the greatest minds that ever were, drawn from the entire planet and from all of our history. They allow people long dead to talk inside our heads. Books can accompany us everywhere. Books are patient where we are slow to understand, allow us to go over the hard parts as many times as we wish, and are never critical of our lapses. Books are key to understanding the world and participating in a democratic society.	<p>For 99 percent of the tenure of humans on earth, nobody could read or write. The great invention had not yet been made. Except for firsthand experience, almost everything we knew was passed on by word of mouth. As in the children&rsquo;s game &ldquo;Telephone,&rdquo; over tens and hundreds of generations, information would slowly be distorted and lost.</p> <p>Books changed all that. Books, purchasable at low cost, permit us to interrogate the past with high accuracy; to tap the wisdom of our species; to understand the point of view of others, and not just those in power; to contemplate &ndash; with the best teachers &ndash; the insights, painfully extracted from Nature, of the greatest minds that ever were, drawn from the entire planet and from all of our history. They allow people long dead to talk inside our heads. Books can accompany us everywhere. Books are patient where we are slow to understand, allow us to go over the hard parts as many times as we wish, and are never critical of our lapses.</p> <p>Books are key to understanding the world and participating in a democratic society.</p>	Sagan, Carl	carl-sagan	Carl_Sagan	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Demon-Haunted World: Science as a Candle in the Dark</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/039453512X/portablewisdo-20' class='isbn'>039453512X</a> 	
Cultural, as opposed to biological, evolution	Edwin G. Pulleyblank	1989	cultural evolution			Studies in Language Origins	Book	The Meaning of Duality of Patterning and Its Importance in Language Evolution								2017-02-16 13:25:08	Our capacity, through language, to manipulate the mental world and so deal imaginatively with the world of experience has been a major factor, perhaps the major factor, in giving humans the overwhelming advantage over other species in terms of cultural, as opposed to biological, evolution. 	<p>Our capacity, through language, to manipulate the mental world and so deal imaginatively with the world of experience has been a major factor, perhaps the major factor, in giving humans the overwhelming advantage over other species in terms of cultural, as opposed to biological, evolution.</p>	Pulleyblank, Edwin G.	edwin-g.-pulleyblank	Edwin_G._Pulleyblank	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Studies in Language Origins</cite>, <cite class='minortitle'>&#8220;The Meaning of Duality of Patterning and Its Importance in Language Evolution&#8221;</cite>	
Excitement from Art	Anthony Burgess	1974	art			English Literature: A Survey for Students	Book			0582552249						2017-04-21 08:41:53	The excitement we derive from a work of art is mostly the excitement of seeing connections that did not exist before, of seeing quite different aspects of life unified through a pattern.	<p>The excitement we derive from a work of art is mostly the excitement of seeing connections that did not exist before, of seeing quite different aspects of life unified through a pattern.</p>	Burgess, Anthony	anthony-burgess	Anthony_Burgess	the <span class='sourcetype'>Book</span> <cite class='majortitle'>English Literature: A Survey for Students</cite>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0582552249/portablewisdo-20' class='isbn'>0582552249</a> 	
A Progressive Annual Tax on Capital	Thomas Piketty	2014	equality, value creation			Capital in the Twenty-First Century	Book			067443000X	571-573	Copyright	the President and Fellows of Harvard College	Belknap Press		2016-11-25 19:35:31	The right solution is a progressive annual tax on capital. This will make it possible to avoid an endless inegalitarian spiral while preserving competition and incentives for new instances of primitive accumulation.... This would contain the unlimited growth of global inequality of wealth, which is currently increasing at a rate that cannot be sustained in the long run and that ought to worry even the most fervent champions of the self-regulated market. Historical experience shows, moreover, that such immense inequalities of wealth have little to do with the entrepreneurial spirit and are of no use in promoting growth. Nor are they of any 'common utility,' to borrow the nice expression from the 1789 Declaration of the Rights of Man and the Citizen with which I began this book.	<p>The right solution is a progressive annual tax on capital. This will make it possible to avoid an endless inegalitarian spiral while preserving competition and incentives for new instances of primitive accumulation&hellip;. This would contain the unlimited growth of global inequality of wealth, which is currently increasing at a rate that cannot be sustained in the long run and that ought to worry even the most fervent champions of the self-regulated market. Historical experience shows, moreover, that such immense inequalities of wealth have little to do with the entrepreneurial spirit and are of no use in promoting growth. Nor are they of any &lsquo;common utility,&rsquo; to borrow the nice expression from the 1789 Declaration of the Rights of Man and the Citizen with which I began this book.</p>	Piketty, Thomas	thomas-piketty	Thomas_Piketty	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Capital in the Twenty-First Century</cite>, <span class='publisher'>Belknap Press</span>, pages&nbsp;<span class='pages'>571-573</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/067443000X/portablewisdo-20' class='isbn'>067443000X</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>the President and Fellows of Harvard College</span>
I must study politics and war	John Adams	May 12, 1780	cultural evolution, education, parenthood			Letter to Abigail Adams	Letter									2015-03-18 18:19:43	I must study politics and war, that our sons may have liberty to study mathematics and philosophy. Our sons ought to study mathematics and philosophy, geography, natural history and naval architecture, navigation, commerce and agriculture in order to give their children a right to study painting, poetry, music, architecture, statuary, tapestry and porcelain.	<p>I must study politics and war, that our sons may have liberty to study mathematics and philosophy. Our sons ought to study mathematics and philosophy, geography, natural history and naval architecture, navigation, commerce and agriculture in order to give their children a right to study painting, poetry, music, architecture, statuary, tapestry and porcelain.</p>	Adams, John	john-adams	John_Adams	the <span class='sourcetype'>Letter</span> <cite class='majortitle'>Letter to Abigail Adams</cite>	
Only a Human Being	Albert Einstein	18 September 1896	cultural evolution, humanism			The Collected Papers of Albert Einstein	unknown	My Future Plans								2010-08-15 09:16:17	I am by heritage a Jew, by citizenship a Swiss, and by makeup a human being, and <em>only</em> a human being, without any special attachment to any state or national entity whatsoever.	<p>I am by heritage a Jew, by citizenship a Swiss, and by makeup a human being, and <em>only</em> a human being, without any special attachment to any state or national entity whatsoever.</p>	Einstein, Albert	albert-einstein	Albert_Einstein	<cite class='majortitle'>The Collected Papers of Albert Einstein</cite>, <cite class='minortitle'>&#8220;My Future Plans&#8221;</cite>	
To differentiate truth from falsehood	Robert B. Reich	2018	critical thinking, education			The Common Good	Book			052552049X	158	Copyright	Robert B. Reich	Knopf		2018-03-17 16:04:35	It is the civic responsibility of all of us to check the facts we read or hear, to find and depend upon reliable sources, to share the truth with others, and hold accountable those who lie to us or suppress the truth. We must also ensure that every American has sufficient education to differentiate truth from falsehood, and to think critically about what they read and see. 	<p>It is the civic responsibility of all of us to check the facts we read or hear, to find and depend upon reliable sources, to share the truth with others, and hold accountable those who lie to us or suppress the truth.</p> <p>We must also ensure that every American has sufficient education to differentiate truth from falsehood, and to think critically about what they read and see.</p>	Reich, Robert B.	robert-b.-reich	Robert_B._Reich	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Common Good</cite>, <span class='publisher'>Knopf</span>, page&nbsp;<span class='pages'>158</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/052552049X/portablewisdo-20' class='isbn'>052552049X</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Robert B. Reich</span>
Politics and the Debasement of Language	George Orwell		critical thinking, written word			Politics and the English Language	Essay									2014-07-21 18:10:29	A scrupulous writer, in every sentence that he writes, will ask himself at least four questions, thus: What am I trying to say? What words will express it? What image or idiom will make it clearer? Is this image fresh enough to have an effect? And he will probably ask himself two more: Could I put it more shortly? Have I said anything that is avoidably ugly? But you are not obliged to go to all this trouble. You can shirk it by simply throwing your mind open and letting the ready-made phrases come crowding in. They will construct your sentences for you -- even think your thoughts for you, to a certain extent -- and at need they will perform the important service of partially concealing your meaning even from yourself. It is at this point that the special connection between politics and the debasement of language becomes clear.	<p>A scrupulous writer, in every sentence that he writes, will ask himself at least four questions, thus: What am I trying to say? What words will express it? What image or idiom will make it clearer? Is this image fresh enough to have an effect? And he will probably ask himself two more: Could I put it more shortly? Have I said anything that is avoidably ugly? But you are not obliged to go to all this trouble. You can shirk it by simply throwing your mind open and letting the ready-made phrases come crowding in. They will construct your sentences for you &ndash; even think your thoughts for you, to a certain extent &ndash; and at need they will perform the important service of partially concealing your meaning even from yourself. It is at this point that the special connection between politics and the debasement of language becomes clear.</p>	Orwell, George	george-orwell	George_Orwell	the <span class='sourcetype'>Essay</span> <cite class='majortitle'>Politics and the English Language</cite>	
An Invincible Summer	Albert Camus	1952	humanism			Lyrical and Critical Essays	Book	Return to Tipasa		0394708520				Vintage		2008-08-05 16:02:04	In the depths of winter, I finally learned that within me there lay an invincible summer.	<p>In the depths of winter, I finally learned that within me there lay an invincible summer.</p>	Camus, Albert	albert-camus	Albert_Camus	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Lyrical and Critical Essays</cite>, <cite class='minortitle'>&#8220;Return to Tipasa&#8221;</cite>, <span class='publisher'>Vintage</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0394708520/portablewisdo-20' class='isbn'>0394708520</a> 	
The Philosophy of Jazz	Wynton Marsalis	2008	equality, individuals, liberty			Moving to Higher Ground: How Jazz Can Change Your Life	Book			1400060788	165	Copyright	Wynton Marsalis Enterprises	Random House	New York	2008-10-20 13:51:42	Jazz is the most flexible art form ever because it believes in the good taste of individuals. It believes in our ability to make reasonable choices. It takes a chance on our decision-making skills instead of legislating our freedom away with written restrictions and restrictive hierarchies. In jazz, the size of your heart and your ability to play determine your position in the band. The philosophy of jazz is rooted in the elevation and enrichment of people, plain ol' folks.	<p>Jazz is the most flexible art form ever because it believes in the good taste of individuals. It believes in our ability to make reasonable choices. It takes a chance on our decision-making skills instead of legislating our freedom away with written restrictions and restrictive hierarchies. In jazz, the size of your heart and your ability to play determine your position in the band. The philosophy of jazz is rooted in the elevation and enrichment of people, plain ol&rsquo; folks.</p>	Marsalis, Wynton	wynton-marsalis	Wynton_Marsalis	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Moving to Higher Ground: How Jazz Can Change Your Life</cite>, <span class='city'>New York</span>: <span class='publisher'>Random House</span>, page&nbsp;<span class='pages'>165</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1400060788/portablewisdo-20' class='isbn'>1400060788</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Wynton Marsalis Enterprises</span>
Myths are stronger than anyone could have imagined	Yuval Noah Harari	2015	cultural evolution, stories			Sapiens: A Brief History of Humankind	Book			0062316095		Copyright	Yuval Noah Harari	Harper Collins		2016-11-21 09:31:09	Myths, it transpired, are stronger than anyone could have imagined. When the Agricultural Revolution opened opportunities for the creation of crowded cities and mighty empires, people invented stories about great gods, motherlands and joint stock companies to provide the needed social links. While human evolution was crawling at its usual snail's pace, the human imagination was building astounding networks of mass cooperation, unlike any other ever seen on earth.	<p>Myths, it transpired, are stronger than anyone could have imagined. When the Agricultural Revolution opened opportunities for the creation of crowded cities and mighty empires, people invented stories about great gods, motherlands and joint stock companies to provide the needed social links. While human evolution was crawling at its usual snail&rsquo;s pace, the human imagination was building astounding networks of mass cooperation, unlike any other ever seen on earth.</p>	Harari, Yuval Noah	yuval-noah-harari	Yuval_Noah_Harari	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Sapiens: A Brief History of Humankind</cite>, <span class='publisher'>Harper Collins</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062316095/portablewisdo-20' class='isbn'>0062316095</a> 	<span class='rights'>Copyright</span> &copy; by <span class='rightsowner'>Yuval Noah Harari</span>
Capitalists who worship only at the feet of capitalism	Herb Bowie		value creation			unknown	unknown									2017-02-17 12:36:00	Democratic capitalism is a wonderful device precisely because it maximizes the ability of individuals within society to singly and collectively pursue the ends that <em>they</em> find to be important and meaningful; the accomplishments of a capitalistic society are noble and grand to the extent that the ends pursued by its individuals aspire to these lofty goals, and bereft to the extent that the intentions of its citizens are mean and unworthy; nothing makes capitalism appear more hollow than capitalists who worship only at the feet of capitalism: they are like workmen who have fallen in love with their tools, while blind to the glories of the cathedrals these tools have built and can yet build. 	<p>Democratic capitalism is a wonderful device precisely because it maximizes the ability of individuals within society to singly and collectively pursue the ends that <em>they</em> find to be important and meaningful; the accomplishments of a capitalistic society are noble and grand to the extent that the ends pursued by its individuals aspire to these lofty goals, and bereft to the extent that the intentions of its citizens are mean and unworthy; nothing makes capitalism appear more hollow than capitalists who worship only at the feet of capitalism: they are like workmen who have fallen in love with their tools, while blind to the glories of the cathedrals these tools have built and can yet build.</p>	Bowie, Herb	herb-bowie	Herb_Bowie		
